"","x"
"46","@MaryRuth58 @jim_lewis1018 @smidge9099 @LadyChesapeake @WhiteHouse @BIGSEXYYT Why do you think we are fighting this… https://t.co/2FWWPsTGoO"
"47","@realDonaldTrump you're the most corrupt individual ever to usurp the @WhiteHouse . And you still have the guts to… https://t.co/d8UmVIJtpW"
"48","@Mike_Press19 @UNSCouncil you don’t understand 63 mill+ Americans don’t want them here. Do your refugee camps. Admi… https://t.co/3uCbpgOznz"
"49","@_mojo_pin_ @BpGritty @madasednam @realDonaldTrump @POTUS @WhiteHouse @PressSec @VP @thehill Agree its hurting farm… https://t.co/2eMsFtje1s"
"50","Everybody fill out this form for the President! https://t.co/iNaqeqkiNE
 Let him know we need our workers #SAVEH2B"
"51","@WhiteHouse"
"52","President Trump and his family hosted families to partake in the Annual White House Easter Egg Roll/Hunt at the Whi… https://t.co/R1llIIETZp"
"53","@realDonaldTrump @WhiteHouse @POTUS

Mr President

Keep the tweets flying so media catch them and repeat them...… https://t.co/WDfObxGfqY"
"54","@raorups @RealJamesWoods @TrickyN03859925 @facebook @WhiteHouse My paycheck is bigger, my taxes are less. My Vetera… https://t.co/7X9ts2oSBr"
"55","If we DON'T ""PAY ATTENTION"" &amp; seek SOLUTIONS versus problems ANOTHER has no other ""option"" except THIS × it's from… https://t.co/Zcf76oAHD7"
"56",".@realDonaldTrump .@WhiteHouse .@POTUS https://t.co/0POweWxVBY"
"57","@President1Trump @WhiteHouse @chucktodd Isn't it delightful to see Chuck Todd get his panties all twisted into a wad?"
"58","@MiltonsMinions @GMSarli @realDonaldTrump @WhiteHouse Comon, if he is THAT DUMB I would be shocked. You cuckhold ne… https://t.co/0VwynHWPLH"
"59","@jasonwroulston Good morning to you too Mr. Roulston."
"60","@SwankCarpent @RealJamesWoods @TrickyN03859925 @facebook @WhiteHouse Have a nice day !"
"61","Immediate Withdrawal of all Troops in Syria Now
https://t.co/0j35CrOTFh"
"62","@RGr8tCountry BTW that is totally made up crap by pathetic people who refuse to take responsibility for their own a… https://t.co/CZW9svKCq6"
"63","To all trumpers out there, this moron usurping the @WhiteHouse is an evil, hateful individual. https://t.co/lPazw5mWre"
"64","@AghaDoesTweets @MaryRuth58 @smidge9099 @LadyChesapeake @jim_lewis1018 @WhiteHouse @BIGSEXYYT First Learn Respect.. https://t.co/OcDUONvjQV"
"65","@WhiteHouse Recreational marijuana use leads to using other drugs. Those selling opoids illegally in jail. Even doc… https://t.co/Lq5vTpIXNd"
"66","@RescueFarm1 @KamVTV @POTUS @seanhannity @dbongino @WhiteHouse @realDonaldTrump @FoxNews Unless the welcome package… https://t.co/IgNdX7tcJy"
"67","@WhiteHouse End of the day: “You can lead a horse to water, but you can’t make it drink.”"
"68","@MillennialStorm @VikingBearGod @LockDemsUp @lilhobo17 @loudmouthdad @JoanneColombo @1_bammom @joshdcaplan… https://t.co/uhCewCz8Hr"
"69","@TheDemocrats @SenateGOP @HouseGOP @WhiteHouse @paladine @AynRandPaulRyan LIKE ALWAYS SPANKY LIED https://t.co/R5oP4qr5In"
"70","@saletan Didn't take #LarryKudlow long to abandon his principles and truthtelling just like everyone else… https://t.co/7tEXo1PhdR"
"71","@WhiteHouse I’m calling on the attorney general @TheJusticeDept @jeffsessions to prosecute your criminal EPA chief… https://t.co/Q3T2BkycOr"
"72","@whitehouse Congratulations on writing a great gov tweet! https://t.co/VuVOmxkF6H (Ranked 22nd for Apr 7.)"
"73","@nam_ov Compare the 1st Asylum story - lovers plan murder, kill voodoo studying wife and chop her up, her body part… https://t.co/UacR5T68j0"
"74","@bkohatl @MeetThePress @WhiteHouse I'm afraid it is worse than that, it is gaslighting."
"75","@MillennialStorm @VikingBearGod @LockDemsUp @lilhobo17 @loudmouthdad @JoanneColombo @1_bammom @joshdcaplan… https://t.co/GKUjbafL2g"
"76","Real reason @SAfridiOfficial was ranting about #Kashmir is because he was instructed to divert attention from the a… https://t.co/jyNoYphxBM"
"77","@MaryRuth58 @smidge9099 @LadyChesapeake @jim_lewis1018 @WhiteHouse @BIGSEXYYT Why do you think we are having this Holy War?"
"78","@WhiteHouse @realDonaldTrump wants to ""pressure Congress to urgently pass legislation to close legal loopholes expl… https://t.co/gAIODLxYBu"
"79","I'm at The @WhiteHouse in Washington, DC https://t.co/c0g8SSFwUI https://t.co/kpcC80sy7y"
"80","@jimmykimmel @seanhannity I doubt Hannity will apologize, the President never does and those two are one in the sam… https://t.co/3T3xTx668p"
"81","@RodneyH20797762 @daddybusa13 @FoxNews @realDonaldTrump @WhiteHouse @NRA Most NRA members support universal backgro… https://t.co/GNK72hXBea"
"82","Don't Worry Everyone #trump And His #WhiteHouse&amp; #Administration Are Busy Looking For Empty Warehouses, Airfields T… https://t.co/pvYIL8ewi6"
"83","@Rick_Ragan @President1Trump @WhiteHouse @chucktodd Damn the man! Save the Empire!"
